Date,Time,Away,Home,Matchup,AwayScore,HomeScore,Total,Margin,Favorite,AwayWinPct,HomeWinPct,Pace,PaceConfidence,Confidence,AwayRecord,HomeRecord,AwayOffRtg,HomeOffRtg,AwayDefRtg,HomeDefRtg,AwayInjuries,HomeInjuries,DataSource,LastUpdated
2025-11-02,3:30 pm ET,NOP,OKC,NOP @ OKC,104,130,234,26.0,Oklahoma City Thunder,2,98,101.05901904792027,High,High,0-5,5-0,107.1,114.3,121.4,103.3,3,6,Enhanced,2025-11-02T22:39:22.947Z
2025-11-02,6:00 pm ET,PHI,BKN,PHI @ BKN,119,110,229,9.0,Philadelphia 76ers,79.4,20.6,99.153,High,Medium,4-1,0-5,122.3,114.9,118.4,129.1,4,3,Enhanced,2025-11-02T22:39:23.050Z
2025-11-02,6:00 pm ET,UTA,CHA,UTA @ CHA,115,123,238,8.0,Charlotte Hornets,23.1,76.9,102.97200000000002,High,Medium,2-3,1-4,115.6,114.1,116.0,121.5,5,7,Enhanced,2025-11-02T22:39:23.135Z
2025-11-02,6:00 pm ET,ATL,CLE,ATL @ CLE,117,117,234,0.0,Cleveland Cavaliers,50,50,99.75149988366812,High,Low,3-2,3-2,115.8,112.8,114.4,112.5,4,5,Enhanced,2025-11-02T22:39:23.221Z
2025-11-02,6:00 pm ET,MEM,TOR,MEM @ TOR,110,117,227,7.0,Toronto Raptors,25.9,74.1,101.929873525375,High,Medium,2-3,1-4,112.0,113.3,116.6,121.5,5,4,Enhanced,2025-11-02T22:39:23.301Z
2025-11-02,7:00 pm ET,CHI,NYK,CHI @ NYK,121,120,241,1.0,Chicago Bulls,53.7,46.3,99.79234583534014,High,Low,5-0,2-3,119.0,114.1,110.3,115.4,5,1,Enhanced,2025-11-02T22:39:23.375Z
2025-11-02,8:00 pm ET,SAS,PHX,SAS @ PHX,124,120,244,4.0,San Antonio Spurs,64.6,35.4,101.35426503190831,High,Low,5-0,1-4,117.5,110.3,104.2,116.4,7,3,Enhanced,2025-11-02T22:39:23.448Z
2025-11-02,9:30 pm ET,MIA,LAL,MIA @ LAL,120,136,256,16.0,LA Lakers,8.3,91.7,102.98820087491089,High,High,3-2,4-1,116.8,118.3,106.3,114.9,5,5,Enhanced,2025-11-02T22:39:23.524Z
