Date,Time,Away,Home,Matchup,AwayScore,HomeScore,Total,Margin,Favorite,AwayWinPct,HomeWinPct,Pace,PaceConfidence,Confidence,AwayRecord,HomeRecord,AwayOffRtg,HomeOffRtg,AwayDefRtg,HomeDefRtg,AwayInjuries,HomeInjuries,DataSource,LastUpdated
2025-10-31,7:00 pm ET,ATL,IND,ATL @ IND,114,105,219,9.0,Atlanta Hawks,79.4,20.6,102.082245628602,High,Low,2-3,0-4,111.1,104.4,117.6,113.7,3,8,Enhanced,2025-10-31T19:56:09.883Z
2025-10-31,7:00 pm ET,BOS,PHI,BOS @ PHI,104,125,229,21.0,Philadelphia 76ers,4.1,95.9,100.11250000000001,High,Medium,2-3,4-0,118.2,124.9,111.2,119.9,4,3,Enhanced,2025-10-31T19:56:10.417Z
2025-10-31,7:30 pm ET,TOR,CLE,TOR @ CLE,111,114,225,3.0,Cleveland Cavaliers,38.9,61.1,102.47078340378401,High,Low,1-4,3-2,115.0,113.3,121.3,112.3,4,3,Enhanced,2025-10-31T19:56:11.402Z
2025-10-31,8:00 pm ET,NYK,CHI,NYK @ CHI,113,124,237,11.0,Chicago Bulls,16.1,83.9,104.7203083293197,High,Low,2-2,4-0,110.8,114.9,110.2,106.2,2,2,Enhanced,2025-10-31T19:56:12.224Z
2025-10-31,9:30 pm ET,LAL,MEM,LAL @ MEM,119,119,238,0.0,Memphis Grizzlies,50,50,107.70527147878913,High,Low,3-2,3-2,115.7,112.5,115.6,115.4,6,5,Enhanced,2025-10-31T19:56:12.881Z
2025-10-31,10:00 pm ET,UTA,PHX,UTA @ PHX,114,108,222,6.0,Utah Jazz,71.1,28.9,100.96665900804715,High,Low,2-2,1-4,120.5,110.7,116.1,120.5,4,4,Enhanced,2025-10-31T19:56:13.373Z
2025-10-31,10:00 pm ET,DEN,POR,DEN @ POR,125,121,246,4.0,Denver Nuggets,64.6,35.4,105.52450000000002,High,Low,3-1,3-2,123.9,116.4,109.5,110.2,5,5,Enhanced,2025-10-31T19:56:13.859Z
2025-10-31,10:30 pm ET,NOP,LAC,NOP @ LAC,96,109,205,13.0,LA Clippers,12.5,87.5,96.14737627958421,High,Medium,0-4,2-2,102.7,112.0,120.0,113.5,4,3,Enhanced,2025-10-31T19:56:14.349Z
