Date,Time,Away,Home,Matchup,AwayScore,HomeScore,Total,Margin,Favorite,AwayWinPct,HomeWinPct,Pace,PaceConfidence,Confidence,AwayRecord,HomeRecord,AwayOffRtg,HomeOffRtg,AwayDefRtg,HomeDefRtg,AwayInjuries,HomeInjuries,DataSource,LastUpdated
2025-11-03,7:00 pm ET,MIN,BKN,MIN @ BKN,109,113,222,4.0,Brooklyn Nets,35.4,64.6,99.56538795398708,High,Low,2-3,0-5,115.9,113.4,118.1,128.7,3,0,Enhanced,2025-11-03T23:11:07.405Z
2025-11-03,7:00 pm ET,MIL,IND,MIL @ IND,123,113,236,10.0,Milwaukee Bucks,81.8,18.2,102.91181703866938,High,Medium,3-2,1-4,120.1,105.5,116.1,114.9,4,8,Enhanced,2025-11-03T23:11:33.745Z
2025-11-03,7:30 pm ET,UTA,BOS,UTA @ BOS,103,129,232,26.0,Boston Celtics,2,98,97.3219253573526,High,High,1-4,3-2,109.3,117.8,118.1,113.9,0,4,Enhanced,2025-11-03T23:11:54.226Z
2025-11-03,7:30 pm ET,WAS,NYK,WAS @ NYK,101,126,227,25.0,New York Knicks,2.3,97.7,99.8615,High,High,1-4,2-3,105.2,116.8,118.6,117.3,1,2,Enhanced,2025-11-03T23:12:04.022Z
2025-11-03,8:00 pm ET,DAL,HOU,DAL @ HOU,103,137,240,34.0,Houston Rockets,0.6,99.4,96.819874829442,High,High,2-3,3-2,106.7,126.5,109.5,113.5,4,5,Enhanced,2025-11-03T23:12:11.663Z
2025-11-03,8:00 pm ET,DET,MEM,DET @ MEM,121,124,245,3.0,Memphis Grizzlies,38.9,61.1,102.95666283384537,High,Low,4-1,2-3,116.0,113.8,111.9,114.8,3,0,Enhanced,2025-11-03T23:12:20.700Z
2025-11-03,9:00 pm ET,SAC,DEN,SAC @ DEN,113,128,241,15.0,Denver Nuggets,9.5,90.5,100.2885,High,High,2-3,3-2,113.4,121.1,117.8,109.6,6,5,Enhanced,2025-11-03T23:12:29.905Z
2025-11-03,10:00 pm ET,LAL,POR,LAL @ POR,122,132,254,10.0,Portland Trail Blazers,18.2,81.8,104.97254354198309,High,Medium,4-1,4-1,115.4,116.3,114.4,109.6,0,5,Enhanced,2025-11-03T23:12:39.233Z
2025-11-03,10:30 pm ET,MIA,LAC,MIA @ LAC,118,124,242,6.0,LA Clippers,28.9,71.1,98.78137418913032,High,Medium,3-2,3-2,118.1,115.1,108.1,115.9,0,2,Enhanced,2025-11-03T23:12:47.843Z
