Date,Time,Away,Home,Matchup,AwayScore,HomeScore,Total,Margin,Favorite,AwayWinPct,HomeWinPct,Pace,PaceConfidence,Confidence,AwayRecord,HomeRecord,AwayOffRtg,HomeOffRtg,AwayDefRtg,HomeDefRtg,AwayInjuries,HomeInjuries,DataSource,LastUpdated
2025-11-04,7:30 pm ET,MIL,TOR,MIL @ TOR,117,121,238,4.0,Toronto Raptors,35.4,64.6,101.71590874123362,Very High,Low,3-2,2-3,119.4,115.5,116.2,119.8,3,3,Enhanced,2025-11-05T00:38:19.727Z
2025-11-04,8:00 pm ET,ORL,ATL,ORL @ ATL,114,126,240,12.0,Atlanta Hawks,14.2,85.8,102.70707151389593,Very High,High,2-3,2-3,114.9,114.0,114.3,115.5,3,2,Enhanced,2025-11-05T00:38:20.064Z
2025-11-04,8:00 pm ET,PHI,CHI,PHI @ CHI,126,129,255,3.0,Chicago Bulls,38.9,61.1,102.34255,Very High,Low,4-1,4-1,124.2,120.4,115.8,114.4,2,4,Enhanced,2025-11-05T00:38:20.382Z
2025-11-04,8:00 pm ET,CHA,NOP,CHA @ NOP,110,105,215,5.0,Charlotte Hornets,67.9,32.1,98.5894,Very High,Low,2-3,0-5,115.6,105.4,117.9,125.7,7,6,Enhanced,2025-11-05T00:38:20.663Z
2025-11-04,10:00 pm ET,PHX,GSW,PHX @ GSW,118,122,240,4.0,Golden State Warriors,35.4,64.6,103.22293880368858,Very High,Low,2-3,2-3,114.6,111.2,113.0,111.5,2,4,Enhanced,2025-11-05T00:38:20.932Z
2025-11-04,11:00 pm ET,OKC,LAC,OKC @ LAC,123,122,245,1.0,Oklahoma City Thunder,53.7,46.3,97.78681675562406,Very High,Low,5-0,3-2,119.0,115.7,102.4,112.2,5,4,Enhanced,2025-11-05T00:38:21.217Z
