Date,Time,Away,Home,Matchup,AwayScore,HomeScore,Total,Margin,Favorite,AwayWinPct,HomeWinPct,Pace,PaceConfidence,Confidence,AwayRecord,HomeRecord,AwayOffRtg,HomeOffRtg,AwayDefRtg,HomeDefRtg,AwayInjuries,HomeInjuries,DataSource,LastUpdated
2025-11-01,5:00 pm ET,SAC,MIL,SAC @ MIL,106,134,240,28.0,Milwaukee Bucks,1.5,98.5,102.89,High,High,1-4,4-1,109.5,118.3,114.5,111.4,4,2,Enhanced,2025-11-01T17:35:44.714Z
2025-11-01,6:00 pm ET,MIN,CHA,MIN @ CHA,114,130,244,16.0,Charlotte Hornets,8.3,91.7,104.7335531199992,High,High,2-3,2-3,114.0,119.0,119.5,119.2,4,6,Enhanced,2025-11-01T17:35:44.820Z
2025-11-01,7:00 pm ET,GSW,IND,GSW @ IND,118,111,229,7.0,Golden State Warriors,74.1,25.9,102.21550000000002,High,Medium,3-2,0-5,115.3,104.9,114.0,116.2,2,8,Enhanced,2025-11-01T17:35:44.909Z
2025-11-01,7:00 pm ET,ORL,WAS,ORL @ WAS,113,122,235,9.0,Washington Wizards,20.6,79.4,105.43335912227016,High,Medium,1-4,1-4,112.3,110.2,119.3,120.1,3,0,Enhanced,2025-11-01T17:35:44.987Z
2025-11-01,8:00 pm ET,HOU,BOS,HOU @ BOS,121,124,245,3.0,Boston Celtics,38.9,61.1,96.93052525330414,High,Low,2-2,3-2,125.2,117.5,116.0,110.0,2,0,Enhanced,2025-11-01T17:35:45.062Z
2025-11-01,10:00 pm ET,DAL,DET,DAL @ DET,102,129,231,27.0,Detroit Pistons,1.7,98.3,101.51666894507741,High,High,2-3,3-2,103.5,113.0,110.3,112.0,6,2,Enhanced,2025-11-01T17:35:45.135Z
